latitude,longitude,altitude(m),heading(deg),gimbalPitch(deg),action
18.221772589399926,-63.0517759,120,90.0,-45,photo
18.220809782384364,-63.047993109136875,120,120.0,-45,video_segment
18.218179344699962,-63.04522391403066,120,150.0,-45,video_segment
18.2145861,-63.04421031827375,120,180.0,-45,photo
18.210992855300034,-63.04522391403066,120,210.0,-45,video_segment
18.208362417615632,-63.047993109136875,120,240.00000000000003,-45,video_segment
18.2145861,-63.0517759,150,0,-90,photo_360
18.20739961060007,-63.0517759,120,270.0,-45,photo
18.208362417615632,-63.05555869086313,120,300.0,-45,video_segment
18.210992855300034,-63.05832788596935,120,330.0,-45,video_segment
18.2145861,-63.05934148172626,120,0.0,-45,photo
18.218179344699962,-63.05832788596935,120,30.000000000000057,-45,video_segment
18.220809782384364,-63.05555869086313,120,59.99999999999994,-45,video_segment
